brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,02/14/2016,02/14/2016,8919601,142686662,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2023,3rd_renewal,$5.00 
LMPLUS,02/15/2016,02/15/2016,8919601,140843380,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/08/2016,02/08/2016,8919601,139661108,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/31/2016,01/31/2016,8919601,122341957,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/30/2016,01/30/2016,8919601,121869503,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/18/2016,02/18/2016,8919601,121864884,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/01/2016,02/01/2016,8919601,121562546,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,01/31/2016,01/31/2016,8919601,142689591,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/16/2016,02/16/2016,8919601,114316983,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/25/2016,02/25/2016,8919601,115275410,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/10/2016,02/10/2016,8919601,115265692,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/22/2016,02/22/2016,8919601,114103688,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842093,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/04/2016,02/04/2016,8919601,140902087,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LM,02/09/2016,02/09/2016,8919601,1691282,LMUS-SIM-WS-P-CA-AHPREPAI,AHPREPAIDSOLUTIONS,2019,1st_activation,
LMPLUS,02/22/2016,02/22/2016,8919601,140842374,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842036,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842077,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842127,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/13/2016,02/13/2016,8919601,114721786,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2023,3rd_renewal,$5.00 
LMPLUS,01/28/2016,01/28/2016,8919601,114111095,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/01/2016,02/01/2016,8919601,114110089,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/25/2016,02/25/2016,8919601,114103456,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/25/2016,02/25/2016,8919601,139034256,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140882388,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2035,3rd_renewal,$20.00 
LMPLUS,02/12/2016,02/12/2016,8919601,139676494,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/09/2016,02/09/2016,8919601,139655027,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/16/2016,02/16/2016,8919601,114316173,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/24/2016,02/24/2016,8919601,139657387,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,106376607,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,1st_activation,$20.00 
LMPLUS,02/20/2016,02/20/2016,8919601,114105832,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/13/2016,02/13/2016,8919601,139655100,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/10/2016,02/10/2016,8919601,137794802,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/21/2016,02/21/2016,8919601,139032847,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/14/2016,02/14/2016,8919601,139655282,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/01/2016,02/01/2016,8919601,131697126,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/13/2016,02/13/2016,8919601,106377316,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2023,3rd_renewal,$5.00 
LMPLUS,01/28/2016,01/28/2016,8919601,105197723,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2059,3rd_renewal,$20.00 
LMPLUS,02/25/2016,02/25/2016,8919601,139034033,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/06/2016,02/06/2016,8919601,138023607,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/13/2016,02/13/2016,8919601,137792293,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/24/2016,02/24/2016,8919601,138023763,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2049,3rd_renewal,$20.00 
LMPLUS,02/18/2016,02/18/2016,8919601,122341346,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/12/2016,02/12/2016,8919601,122331891,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/30/2016,01/30/2016,8919601,122331792,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/23/2016,02/23/2016,8919601,139674903,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/23/2016,02/23/2016,8919601,139674846,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/24/2016,02/24/2016,8919601,139656025,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
